mkb_codes;name;frequency_visits;controlled_indicators;duration_observation;note
D23.1;Доброкачественные новообразования кожи века, включая спайку век;;"Отсутствие изменений при фоторегистрации переднего и заднего отрезков глаза, при ультразвуковом исследовании переднего и заднего отрезка глаза, орбиты, флюоресцентной ангиографии, оптической когерентной томографии, КТ и (или) МРТ орбит
признаки атипии по данным морфологического исследования и (или) изменения клинических параметров образования кожи века";Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (изменения при фоторегистрации переднего и заднего отрезков глаза, при ультразвуковом исследовании переднего и заднего отрезка глаза, орбиты, флюоресцентной ангиографии, оптической когерентной томографии, КТ/МРТ орбит, признаки атипии по данным морфологического исследования и (или) изменения клинических параметров образования кожи века)
J38.1;Полип голосовой складки и гортани;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений (увеличения размера полипа, изъязвления) по результатам осмотра врача-специалиста
отсутствие данных о ЗНО по результатам ларингоскопии с биопсией";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (нарастающая осиплость, фиксация голосовой складки, признаки атипии при морфологическом исследовании биоптата)
D14.1;Папилломатоз, фиброматоз гортани;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие изменений по результатам осмотра врача-специалиста, ларингоскопии с биопсией;Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (нарастающая осиплость, фиксация голосовой складки, признаки атипии при морфологическом исследовании биоптата)
D14.2;Доброкачественное новообразование трахеи;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие изменений по результатам осмотра врача-специалиста, трахеоскопии с биопсией;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
D14.0;Инвертированная папиллома полости носа;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра врача-специалиста, зеркальной фиброскопии полости носа и носоглотки, КТ или МРТ лицевого скелета
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
J33;Полип носа;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Отсутствие изменений по результатам осмотра врача-специалиста, зеркальной фиброскопии полости носа и носоглотки, КТ или МРТ лицевого скелета
отсутствие данных о ЗНО по результатам биопсии";В течение 5 лет с момента хирургического лечения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
D14;Новообразование среднего уха;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра врача-специалиста, микроотоскопии, КТ или МРТ височных костей
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
D10.4;Доброкачественное новообразование миндалины;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра врача-специалиста и эндоскопического исследования
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
D10.5;Доброкачественное новообразование других частей ротоглотки;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра врача-специалиста и эндоскопического исследования
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
D10.6;Доброкачественное новообразование носоглотки;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра врача-специалиста и эндоскопического исследования
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
D10.7;Доброкачественное новообразование гортаноглотки;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра врача-специалиста и эндоскопического исследования
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
D10.9;Доброкачественное новообразование глотки неуточненной локализации;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра врача-специалиста и эндоскопического исследования
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
J37;Хронический ларингит и ларинготрахеит;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра врача-специалиста, Фиброларингоскопии
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
J31;Хронический ринит, назофарингит, фарингит;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие изменений по результатам осмотра специалиста, зеркальной фиброскопии полости носа и глотки, КТ или МРТ лицевого скелета
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (увеличение размеров дополнительного объемного образования, появление новых очагов, контактная кровоточивость, появление эрозий на его поверхности, а также дисплазия/рак по результатам биопсии)
K13.2;Лейкоплакия и другие изменения эпителия полости рта, включая языка;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;Отсутствие данных о ЗНО по результатам люминесцентной стоматоскопии с прицельной биопсией;Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия/рак по результатам биопсии)
K13.0;Абразивный хейлит Манганотти, ограниченный гиперкератоз, бородавчатый предрак;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о ЗНО по результатам люминесцентной стоматоскопии с прицельной биопсией;Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
D10.0;Доброкачественное новообразование губы;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие признаков прогрессирования: изменения размеров, консистенции, формы образований по данным обследования, рецидивов после проведенного лечения
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
D10.1;Доброкачественное новообразование языка;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие признаков прогрессирования: изменения размеров, консистенции, формы образований по данным обследования, рецидивов после проведенного лечения
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
D10.2;Доброкачественное новообразование дна полости рта;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие признаков прогрессирования: изменения размеров, консистенции, формы образований по данным обследования, рецидивов после проведенного лечения
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
D10.3;Доброкачественное новообразование других неуточненных частей рта;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие признаков прогрессирования: изменения размеров, консистенции, формы образований по данным обследования, рецидивов после проведенного лечения
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
K13.7;Меланоз полости рта;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие признаков прогрессирования: изменения размеров, консистенции, формы образований по данным обследования
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
Q78.1;Полиостозная фиброзная дисплазия;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие признаков прогрессирования: появление и (или) увеличение структурных изменений костной ткани
отсутствие данных о ЗНО по результатам биопсии";Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
L43;Красный плоский лишай (плоский лишай слизистой оболочки рта);В соответствии с клиническими рекомендациями, но не реже 2 раз в год;Отсутствие данных о ЗНО по результатам люминесцентной стоматоскопии с прицельной биопсией;Пожизненно или до хирургического лечения при отсутствии гистологического подтверждения;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
D22;Синдром диспластических невусов, синдром FAMM (семейный синдром атипических множественных невусов), синдром FAMMM (семейный синдром атипических множественных невусов с меланомой);В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие признаков малигнизации новообразований кожи или появления новых злокачественных новообразований кожи по данным клинического осмотра и инструментальных исследований (дерматоскопии, цифрового картирования кожи);Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
Q82.5;Врожденные гигантские и крупные невусы;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие признаков малигнизации новообразований кожи по данным клинического осмотра и инструментальных исследований (дерматоскопии, цифрового картирования кожи);Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
D23;Невус Ядассона, синдром Горлина-Гольца, синдром Базекса, синдром Рембо;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие признаков малигнизации новообразований кожи или появления новых злокачественных новообразований кожи по данным клинического осмотра и инструментальных исследований (дерматоскопии, цифрового картирования кожи);Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
L57.1;Актинический кератоз;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие признаков малигнизации новообразований кожи или появления новых злокачественных новообразований кожи по данным клинического осмотра и инструментальных исследований (дерматоскопии, цифрового картирования кожи);Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
L82;Эруптивный себорейный кератоз (как проявление фотоповреждения кожи);В соответствии с клиническими рекомендациями, но не реже 2 раза в год;Отсутствие признаков малигнизации новообразований кожи или появления новых злокачественных новообразований кожи по данным клинического осмотра и инструментальных исследований (дерматоскопии, цифрового картирования кожи);Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
Q82.1;Ксеродерма пигментная;В соответствии с клиническими рекомендациями, но не реже чем ежеквартально в течение первого года диспансерного наблюдения, далее - 2 раза в год;Отсутствие признаков малигнизации новообразований кожи или появления новых злокачественных новообразований кожи по данным клинического осмотра и инструментальных исследований (дерматоскопии, цифрового картирования кожи);Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
N 84;Полипы шейки матки и эндометрия;В соответствии с клиническими рекомендациями, но не реже чем 1 раз в 6 месяцев в течение первого года, далее - ежегодно до 5 лет;Отсутствие изменений по данным УЗИ органов малого таза. Отсутствие данных о ЗНО по результатам морфологического исследования материала, полученного при полипэктомии или раздельном диагностическом выскабливании;5 лет - при отсутствии рецидива;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие в полученном материале интраэпителиальной неоплазии, атипической гиперплазии эндометрия, аденокарциномы, рака (in situ, инвазивного)
E28.2;Синдром поликистоза яичников;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Уровень половых гормонов (согласно клиническим рекомендациям)
отсутствие объемных образований по результатам УЗИ щитовидной железы, паращитовидных желез и органов малого таза
уровень онкомаркеров CA-125 и HE-4 сыворотки крови
уровень глюкозы по результатам перорального глюкозотолерантного теста (каждые 1 - 3 года в зависимости от наличия факторов риска развития нарушений углеводного обмена), липидный профиль (при отсутствии нарушений - 1 раз в 2 года, при отклонениях от нормы - ежегодно)
индекс массы тела, окружность талии, уровень артериального давления";Пожизненно;"Прием (осмотр, консультация) врача-онколога по медицинским показаниям (тенденция к увеличению уровня онкомаркеров CA-125 и HE4 при динамическом наблюдении, гиперплазия эндометрия, а также появление ультразвуковых признаков малигнизации, появление объемных образований по результатам УЗИ щитовидной железы, паращитовидных желез и органов малого таза).
Консультация врача-эндокринолога для проведения перорального глюкозотолерантного теста при необходимости.
Консультация врача-дерматовенеролога при наличии жалоб на акне и выпадение волос.
Консультация врача-диетолога с целью модификации образа жизни"
N 88.0;Лейкоплакия шейки матки;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие атипических клеток по результатам цитологического исследования мазков с шейки матки (1 раз в год);Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие атипических клеток по результатам цитологического исследования, тяжелой дисплазии (CIN III), рака in situ, инвазивного рака по результатам морфологического исследования биоптата шейки матки)
N 85.0;Железистая гиперплазия эндометрия;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие рецидива заболевания, по результатам УЗИ органов малого таза - отсутствие увеличения толщины эндометрия более 5 мм на 5 - 7 день цикла или более 4 мм в постменопузе
отсутствие признаков рецидива гиперплазии эндометрия или злокачественной трансформации по результатам морфологического исследования биоптата эндометрия (1 раз в год)
отсутствие данных о ЗНО по результатам морфологического исследования материала, полученного при аспирационной биопсии эндометрия и (или) гистероскопии, раздельном диагностическом выскабливании полости матки и цервикального канала";5 лет;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие рецидивирующей гиперплазии в постменопаузе по результатам УЗИ), увеличение М-эхо в динамике по результатам УЗИ, наличие атипии клеток в полученном материале (эндометриальная интраэпителиальная неоплазия, атипическая гиперплазия эндометрия, аденокарцинома)
N 85.1;Аденоматозная гиперплазия эндометрия;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Отсутствие рецидива заболевания по результатам УЗИ органов малого таза - отсутствие увеличения толщины эндометрия более 5 мм на 5 - 7 день цикла и более 4 мм в постменопузе
отсутствие признаков рецидива гиперплазии эндометрия или злокачественной трансформации по результатам морфологического исследования биоптата эндометрия (каждые 6 месяцев в течение первого года и далее 1 раз в год)
отсутствие данных о ЗНО по результатам морфологического исследования материала, полученного при аспирационной биопсии эндометрия и (или) гистероскопии, раздельного диагностического выскабливания полости матки и цервикального канала";5 лет;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие патологии эндометрия (полип, гиперплазия по результатам УЗИ), увеличение М-эхо в динамике по результатам УЗИ, наличие атипии клеток в полученном материале (эндометриальная интраэпителиальная неоплазия, атипическая гиперплазия эндометрия, аденокарцинома)
N 87.1;Умеренная дисплазия шейки матки Цервикальная интраэпителиальная неоплазия (CIN) II степени;В соответствии с клиническими рекомендациями, но не реже 2 раза в год в течение 1 года после хирургического лечения, далее - не реже 1 раза в год в течение 20 лет;Отсутствие данных о ЗНО по результатам цитологического исследования мазков с шейки матки;20 лет;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие атипических клеток по результатам цитологического исследования, тяжелой дисплазии (CINIII), рака in situ, инвазивного рака по результатам морфологического исследования биоптата шейки матки)
N 87.2;Резко выраженная дисплазия шейки матки, не классифицированная в других рубриках Цервикальная интраэпителиальная неоплазия (CIN) III степени;В соответствии с клиническими рекомендациями, но не позднее 3 месяцев после хирургического лечения, далее - не реже 2 раз в год в течение 2 лет, далее ежегодно в течение 20 лет;Отсутствие атипических клеток по результатам цитологического исследования мазков с шейки матки;20 лет;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие атипических клеток по результатам цитологического исследования, тяжелой дисплазии (CINIII), рака in situ, инвазивного рака по результатам морфологического исследования биоптата шейки матки)
D39.1;Новообразования неопределенного или неизвестного характера яичника;В соответствии с клиническими рекомендациями, но не реже чем 2 раза в год;"Уровень сывороточного онкомаркера CA-125, НЕ4, ингибин B, ЛДГ, АФП, РЭА, ХГЧ
отсутствие прогрессирования по результатам УЗИ и (или) МРТ органов малого таза и брюшной полости: увеличение размеров и кистозно-солидная структура яичников, васкуляризация кист, наличие папиллярных разрастаний по наружной или внутренней поверхности кист, появление солидного компонента в кистах, объем и характер свободной жидкости в полости малого таза";Пожизненно (до излечения);Прием (осмотр, консультация) врача-онколога по медицинским показаниям (появление ультразвуковых признаков малигнизации, тенденция к увеличению уровня сывороточных онкомаркеров CA-125, НЕ4, ингибин B, ЛДГ, АФП, РЭА, ХГЧ при выявлении мутации генов BRCA1 и BRCA2, CHEC)
D24;Доброкачественное новообразование молочной железы;В соответствии с клиническими рекомендациями, но не реже чем 1 раз в год;"Отсутствие изменений по данным осмотра, пальпации молочных желез, шейно-надключичных и подмышечных зон
отсутствие признаков роста и изменения степени васкуляризации по инструментальным методам исследования (УЗИ, маммография)
отсутствие данных о ЗНО по результатам биопсии, цитологического исследования пункционного материала";До наступления менопаузы, но не менее 5 лет;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (появление ультразвуковых признаков малигнизации, тенденция к увеличению уровня сывороточных онкомаркеров CA-125, НЕ4, ингибин B, ЛДГ, АФП, РЭА, ХГЧ при выявлении мутации генов BRCA1 и BRCA2, CHEC)
N 60;Доброкачественная дисплазия молочной железы;В соответствии с клиническими рекомендациями, но не реже чем 1 раз в год;Отсутствие данных о ЗНО по результатам биопсии, цитологического исследования пункционного материала;До 60 лет, но не менее 5 лет;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (появление ультразвуковых признаков малигнизации, тенденция к увеличению уровня сывороточных онкомаркеров CA-125, НЕ4, ингибин B, ЛДГ, АФП, РЭА, ХГЧ при выявлении мутации генов BRCA1 и BRCA2, CHEC)
